cell_id,lat_cell,lng_cell,cafes,avg_rating,share_high,avg_sentiment
"25.265,55.315",25.265,55.315,1,3.8,0.0,
"25.265,55.318",25.265,55.318,1,4.0,0.0,0.1100446428571428
"25.265,55.319",25.265,55.319,1,3.3,0.0,0.2520717282717282
"25.265,55.32",25.265,55.32,1,3.9,0.0,0.0399812030075188
"25.265,55.321",25.265,55.321,6,4.233333333333333,0.3333333333333333,0.29456360709898144
"25.265,55.322",25.265,55.322,1,1.5,0.0,
"25.265,55.33",25.265,55.33,1,4.0,0.0,
"25.265,55.415",25.265,55.415,1,4.8,0.0,0.5938166666666667
"25.265,55.425",25.265,55.425,1,4.0,0.0,0.0977014652014652
"25.265,55.433",25.265,55.433,2,4.2,0.0,0.4267023809523809
"25.266,55.289",25.266,55.289,1,4.9,0.0,
"25.266,55.296",25.266,55.296,1,5.0,0.0,
"25.266,55.308",25.266,55.308,4,4.575,0.25,0.19802693890084042
"25.266,55.309",25.266,55.309,2,4.45,1.0,0.4237739102564103
"25.266,55.311",25.266,55.311,1,4.0,0.0,0.2374397655915513
"25.266,55.319",25.266,55.319,5,4.4799999999999995,0.8,0.3450230472239401
"25.266,55.433",25.266,55.433,1,3.6,0.0,
"25.266,55.434",25.266,55.434,1,3.9,0.0,
"25.267,55.307",25.267,55.307,2,3.45,0.0,
"25.267,55.309",25.267,55.309,1,3.6,0.0,0.2651349789915966
"25.267,55.31",25.267,55.31,1,4.5,0.0,0.3954848484848485
"25.267,55.312",25.267,55.312,1,4.9,0.0,
"25.267,55.315",25.267,55.315,1,3.8,1.0,0.2224847756410256
"25.267,55.316",25.267,55.316,1,4.5,0.0,0.1838932555367338
"25.267,55.317",25.267,55.317,4,4.050000000000001,0.5,0.26929795520136424
"25.267,55.318",25.267,55.318,17,4.447058823529411,0.4117647058823529,0.24856387220585063
"25.267,55.32",25.267,55.32,1,4.7,0.0,0.3129097505668934
"25.267,55.33",25.267,55.33,1,,0.0,
"25.267,55.355",25.267,55.355,1,3.8,0.0,
"25.267,55.427",25.267,55.427,1,4.0,0.0,0.2797222222222222
"25.268,55.301",25.268,55.301,1,4.3,0.0,
"25.268,55.304",25.268,55.304,1,5.0,0.0,
"25.268,55.305",25.268,55.305,1,4.1,1.0,0.4421917388167388
"25.268,55.306",25.268,55.306,1,4.7,0.0,
"25.268,55.314",25.268,55.314,1,5.0,0.0,
"25.268,55.315",25.268,55.315,1,4.4,0.0,0.3004685314685315
"25.268,55.316",25.268,55.316,1,3.6,0.0,-0.3269999999999999
"25.268,55.317",25.268,55.317,1,4.8,0.0,
"25.268,55.318",25.268,55.318,8,4.5125,0.625,0.40573095841670304
"25.268,55.319",25.268,55.319,1,4.1,1.0,0.4953848322296938
"25.268,55.322",25.268,55.322,2,3.8,0.5,0.13336609898589064
"25.268,55.377",25.268,55.377,1,4.1,1.0,0.2888333333333334
"25.269,55.3",25.269,55.3,2,4.55,0.0,
"25.269,55.301",25.269,55.301,1,4.9,0.0,
"25.269,55.305",25.269,55.305,1,3.6,0.0,
"25.269,55.307",25.269,55.307,1,4.5,0.0,
"25.269,55.314",25.269,55.314,4,4.45,0.0,0.3396957725825373
"25.269,55.315",25.269,55.315,1,3.8,0.0,-0.0341758241758241
"25.269,55.317",25.269,55.317,10,4.37,0.1,0.1620848320950394
"25.269,55.318",25.269,55.318,5,4.46,0.4,0.37408859044169746
"25.269,55.327",25.269,55.327,1,4.3,0.0,0.2596296296296296
"25.269,55.375",25.269,55.375,1,4.0,1.0,0.2357713997746892
"25.269,55.407",25.269,55.407,1,4.4,0.0,
"25.269,55.428",25.269,55.428,1,4.2,0.0,0.1544761904761905
"25.27,55.314",25.27,55.314,2,4.8,0.0,0.4134033189033189
"25.27,55.317",25.27,55.317,7,4.457142857142857,0.42857142857142855,0.31145130419689243
